,Title,Directed by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release date,Running time,Language,Budget,Box office,Country,Written by
388,The Poison Rose,"['George Gallo', 'Francesco Cinquemani']","['Jeff Elliott', 'Oscar Generale', 'Andrea Iervolino', 'Richard Salvatore']","['John Travolta', 'Morgan Freeman', 'Famke Janssen', 'Kat Graham', 'Peter Stormare', 'Blerim Destani', 'Alice Pagani', 'Robert Patrick', 'Brendan Fraser']",Terry Stacey,Yvan Gauthier,"['Aldo Shllaku', 'Marcus Sjowall']","['Grindstone Entertainment Group', 'Iervolino Entertainment', 'Millennium Media', 'March On Productions']",Lionsgate,2019-05-24,98.0,English,,323754.0,United States,"['Richard Salvatore', 'Francesco Cinquemani', 'Luca Giliberto']"
389,Anna,Luc Besson,"['Luc Besson', 'Marc Shmuger']","['Sasha Luss', 'Luke Evans', 'Cillian Murphy', 'Helen Mirren']",Thierry Arbogast,Julien Rey,Eric Serra,"['Summit Entertainment', 'EuropaCorp', 'TF1 Films Production', 'Canal+', 'TF1', 'OCS', 'TMC']","['Lionsgate (International)', 'Pathé Distribution (France)']",2019-06-21,119.0,English,30000000.0,31600000.0,,Luc Besson
390,Killers Anonymous,Martin Owen,"['Kirsty Bell', 'Matt Williams']","['Gary Oldman', 'Jessica Alba', 'Tommy Flanagan', 'Rhyon Nicole Brown', 'MyAnna Buring', 'Michael Socha', 'Tim McInnerny', 'Sam Hazeldine']",Håvard Helle,Stephen Hedley,Roger Goula,"['The Ideas Factory', 'Fabrication Films', 'Goldfinch Studios', 'Grindstone Entertainment Group']",Lionsgate,2019-06-28,,English,,97092.0,United States,"['Martin Owen', 'Elizabeth Morris', 'Seth Johnson', 'Jaden Raglin']"
391,My Days of Mercy,Tali Shalom Ezer,"['David Hinojosa', 'Kate Mara', 'Elliot Page', 'Christine Vachon']","['Kate Mara', 'Elliot Page', 'Amy Seimetz', 'Brian Geraghty', 'Elias Koteas']",Radek Ladczuk,Einat Glaser Zarhin,Michael Brook,"['Killer Films', 'Great Point Media', 'Lexis Media']","['Lionsgate (United States)', 'Signature Entertainment (United Kingdom)']",2017-09-08,108.0,English,,,,Joe Barton
392,Scary Stories to Tell in the Dark,André Øvredal,"['Guillermo del Toro', 'Sean Daniel', 'Jason F. Brown', 'J. Miles Dale', 'Elizabeth Grave']","['Zoe Colletti', 'Michael Garza', 'Gabriel Rush', 'Austin Zajur', 'Natalie Ganzhorn', 'Austin Abrams', 'Dean Norris', 'Gil Bellows', 'Lorraine Toussaint']",Roman Osin,Patrick Larsgaard,"['Marco Beltrami', 'Anna Drubich']","['CBS Films', 'Entertainment One', '1212 Entertainment', 'Double Dare You Productions', 'Sean Daniel Company']","['Lionsgate (United States)', 'Entertainment One (Canada, United Kingdom, Australia, New Zealand, Germany, Austria, Benelux and Spain)']",2019-08-09,108.0,English,25000000.0,106000000.0,,
393,Angel Has Fallen,Ric Roman Waugh,"['Gerard Butler', 'Alan Siegel', ""Matt O'Toole"", 'John Thompson', 'Les Weldon', 'Yariv Lerner']","['Gerard Butler', 'Morgan Freeman', 'Jada Pinkett Smith', 'Lance Reddick', 'Tim Blake Nelson', 'Piper Perabo', 'Nick Nolte', 'Danny Huston']",Jules O'Loughlin,Gabriel Fleming,David Buckley,"['Millennium Media', 'G-BASE']",Lionsgate,2019-08-23,121.0,English,40000000.0,146700000.0,United States,
394,Angel of Mine,Kim Farrant,"['Su Armstrong', 'Brian R. Etting', 'Josh H. Etting']","['Noomi Rapace', 'Luke Evans', 'Yvonne Strahovski', 'Richard Roxburgh']",Andrew Commis,Jack Hutchings,Gabe Noel,"['Magna Entertainment', 'Garlin Pictures', 'R7 Entertainment', 'Rockaway Films', 'SixtyFourSix']",Lionsgate,2019-08-14,97.0,English,,230193.0,,"['Luke Davies', 'David Regal']"
395,Strange but True,Rowan Athale,"['Fred Berger', 'Brian Kavanaugh-Jones', 'Christina Piovesan', 'Deepak Nayar']","['Amy Ryan', 'Nick Robinson', 'Margaret Qualley', 'Blythe Danner', 'Brian Cox', 'Greg Kinnear', 'Connor Jessup']",Staurt Bentley,Kim Gaster,Neil Athale,"['CBS Films', 'Motion Picture Capital', 'Bankside Films', 'Head Gear Films', 'Automatik', 'First Generation Films']",Lionsgate,2019-06-22,96.0,English,,,United States,
396,The Weekend,Stella Meghie,"['Stephanie Allain', 'Mel Jones', 'Sarah Lazow', 'James Gibb']","['Sasheer Zamata', 'Tone Bell', 'DeWanda Wise', ""Y'lan Noel"", 'Kym Whitley']",Kris Belchevski,Shannon Baker Davis,Robi Botos,"['Marada Pictures', 'Homegrown Pictures']",Lionsgate,2018-09-11,86.0,English,,,United States,
397,3 from Hell,Rob Zombie,"['Mike Elliott', 'Rob Zombie', 'Tony Ciulla']","['Sheri Moon Zombie', 'Bill Moseley', 'Richard Brake', 'Jeff Daniel Phillips', 'Dee Wallace', 'Emilio Rivera', 'Richard Edson', 'Kevin Jackson', 'Pancho Moler', 'Steven Michael Quezada', 'Clint Howard', 'Barry Bostwick', 'Danny Trejo', 'Sid Haig']",David V. Daniel,Glenn Garland,Zeuss,"['Lionsgate', 'Saban Films', 'Spookshow International Films', 'Capital Arts Entertainment']",Lionsgate,2019-09-16,115.0,English,3000000.0,2200000.0,United States,Rob Zombie
398,Rambo: Last Blood,Adrian Grünberg,"['Avi Lerner', 'Kevin King Templeton', 'Yariv Lerner', 'Les Weldon']","['Sylvester Stallone', 'Paz Vega', 'Sergio Peris-Mencheta', 'Adriana Barraza', 'Yvette Monreal', 'Genie Kim', 'Joaquín Cosío', 'Oscar Jaenada']",Brendan Galvin,"['Todd E. Miller', 'Carsten Kurpanek']",Brian Tyler,"['Millennium Media', 'Balboa Productions', 'Templeton Media', 'Campbell Grobman Films', 'Dadi Film (HK) Ltd']","['Lionsgate', 'Millennium Media']",2019-09-20,95.0,English,50000000.0,91500000.0,United States,
399,Jexi,"['Jon Lucas', 'Scott Moore']",Suzanne Todd,"['Adam DeVine', 'Alexandra Shipp', 'Michael Peña', 'Rose Byrne']",Ben Kutchins,James Thomas,"['Christopher Lennertz', 'Philip White']","['CBS Films', 'Entertainment One']",Lionsgate,2019-10-11,84.0,English,5000000.0,9300000.0,,"['Jon Lucas', 'Scott Moore']"
400,Lucky Day,Roger Avary,"['Don Carmody', 'Samuel Hadida']","['Luke Bracey', 'Nina Dobrev', 'Crispin Glover', 'Ella Ryan Quinn', 'Clé Bennett', 'Clifton Collins Jr.']",Brendan Steacy,Sylvie Landra,tomandandy,"['Davis Films', 'Avary', 'Don Carmody Productions']","['Metropolitan Filmexport (France)', 'Elevation Pictures (Canada)']",2019-09-18,99.0,,,52369.0,,Roger Avary
401,The Gallows Act II,"['Chris Lofing', 'Travis Cluff']","['Jason Blum', 'Guymon Casady', 'Dean Schnider', 'Benjamin Forkner', 'Chris Lofing', 'Travis Cluff']","['Ema Horvath', 'Chris Milligan', 'Brittany Falardeau']",Kyle Gentz,,Zach Lemmon,"['Blumhouse Productions', 'Entertainment 360', 'Tremendum Pictures']",Lionsgate,2019-10-25,99.0,English,,,United States,"['Chris Lofing', 'Travis Cluff']"
402,Midway,Roland Emmerich,"['Roland Emmerich', 'Harald Kloser']","['Ed Skrein', 'Patrick Wilson', 'Luke Evans', 'Aaron Eckhart', 'Nick Jonas', 'Etsushi Toyokawa', 'Tadanobu Asano', 'Luke Kleintank', 'Jun Kunimura', 'Darren Criss', 'Keean Johnson', 'Mandy Moore', 'Dennis Quaid', 'Woody Harrelson']",Robby Baumgartner,['Adam Wolfe'],"['Thomas Wander', 'Harald Kloser']","['Centropolis Entertainment', 'RuYi Media', 'Starlight Culture Entertainment Group', 'Street Entertainment', 'AGC Studios', 'Entertainment One', 'The Mark Gordon Company']","['Lionsgate (United States)', 'Elevation Pictures (Canada)']",2019-11-08,138.0,,100000000.0,126700000.0,,Wes Tooke
403,The Courier,Zackary Adler,"['James Edward Barker', 'Marc Goldberg', 'David Haring']","['Olga Kurylenko', 'Gary Oldman', 'Amit Shah', 'Alicia Agneson', 'Greg Orvis', 'Craig Conway', 'William Moseley', 'Dermot Mulroney']",Michel Abramowicz,Nick McCahearty,"['James Edward Barker', 'Tim Despic']","['Grindstone Entertainment Group', 'Capstone Pictures', 'Signature Entertainment', 'Rollercoaster Angel Productions']","['Lionsgate (United States)', 'Signature Entertainment (United Kingdom)']",2019-11-22,97.0,English,,272693.0,,"['Zackary Adler', 'James Edward Barker', 'Andy Conway', 'Nicky Tate']"
404,Knives Out,Rian Johnson,"['Ram Bergman', 'Rian Johnson']","['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis', 'Michael Shannon', 'Don Johnson', 'Toni Collette', 'Lakeith Stanfield', 'Katherine Langford', 'Jaeden Martell', 'Christopher Plummer']",Steve Yedlin,Bob Ducsay,Nathan Johnson,,"['Lionsgate', 'MRC']",2019-09-07,130.0,English,40000000.0,311400000.0,United States,Rian Johnson
405,Bombshell,Jay Roach,"['Aaron L. Glibert', 'Jay Roach', 'Robert Graf', 'Michelle Graham', 'Charles Randolph', 'Margaret Riley', 'Charlize Theron', 'A.J. Dix', 'Beth Kono']","['Charlize Theron', 'Nicole Kidman', 'John Lithgow', 'Kate McKinnon', 'Connie Britton', 'Malcolm McDowell', 'Allison Janney', 'Margot Robbie']",Barry Ackroyd,Jon Poll,Theodore Shapiro,"['Bron Studios', 'Annapurna Pictures', 'Denver + Delilah Productions', 'Gramsci', 'Lighthouse Management & Media', 'Creative Wealth Media']",Lionsgate,2019-12-13,109.0,English,32000000.0,61400000.0,,Charles Randolph
