,Title,Directed by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release date,Running time,Language,Budget,Box office,Country,Written by
268,Life of Crime,Daniel Schechter,"['Michael Siegel', 'Elizabeth Destro', 'Ellen Goldsmith-Vein', 'Jordan Kessler', 'Lee Stollman', 'Ashok Amritraj', 'Jennifer Aniston']","['Jennifer Aniston', 'Yasiin Bey', 'Isla Fisher', 'Will Forte', 'Mark Boone Junior', 'Tim Robbins', 'John Hawkes']",Eric Alan Edwards,Daniel Schechter,"['The Newton Brothers', 'Jordan Galland']","['Hyde Park Entertainment', 'Image Nation Abu Dhabi', 'The Gotham Group', 'StarStream Entertainment', 'Abbolita Productions']","['Lionsgate', 'Roadside Attractions']",2013-09-15,99.0,English,12000000.0,1500000.0,United States,Daniel Schechter
269,Reclaim,Alan White,"['Brian R. Etting', 'Josh Etting', 'Ian Sutherland', 'Robert Luketic', 'Gary Hamilton', 'Mike Gabrawy', 'Fredrik Malmberg', 'Silvio Muraglia', 'Meadow Williams']","['John Cusack', 'Ryan Phillippe', 'Rachelle Lefevre', 'Luis Guzman', 'Jacki Weaver']",Scott Kevan,"['Doobie White', 'Scott D. Hanson']",Inon Zur,"['Grindstone Entertainment Group', 'Asia Tropical Films', 'Beijing Shuijing Shenlan International Media Co.', 'Garlin Pictures', 'Paradox Entertainment', 'Arclight Films', 'Origin Productions', '120 dB Films', 'Reclaim Productions Pty. Ltd.']",Lionsgate,2014-09-19,96.0,English,,,,"['Carmine Gaeta', 'Luke Davies']"
270,Addicted,Bille Woodruff,Paul Hall,"['Sharon Leal', 'Boris Kodjoe', 'Tasha Smith', 'Tyson Beckford', 'Emayatzy Corinealdi', 'William Levy']",Joseph White,Bruce Cannon,Aaron Zigman,,Lionsgate,2014-10-10,105.0,English,5000000.0,17500000.0,United States,
271,"Love, Rosie",Christian Ditter,"['Robert Kulzer', 'Simon Brooks']","['Lily Collins', 'Sam Claflin', 'Christian Cooke', 'Tamsin Egerton', 'Suki Waterhouse', 'Jamie Beamish', 'Jaime Winstone']",Christian Rein,Tony Cranstoun,Ralph Wengenmayr,"['Constantin Film', 'Canyon Creek Films', 'Octagon Films']","['Lionsgate (United Kingdom)', 'Constantin Film (Germany)']",2014-10-06,102.0,English,,25500000.0,,
272,John Wick,Chad Stahelski,"['Basil Iwanyk', 'David Leitch', 'Eva Longoria', 'Michael Witherill']","['Keanu Reeves', 'Michael Nyqvist', 'Alfie Allen', 'Adrianne Palicki', 'Bridget Moynahan', 'Dean Winters', 'Ian McShane', 'John Leguizamo', 'Willem Dafoe']",Jonathan Sela,Elísabet Ronalds,"['Tyler Bates', 'Joel J. Richard']","['Summit Entertainment', 'Thunder Road Pictures', '87Eleven Productions', 'MJW Films', 'DefyNite Films', 'Company Films']",Lionsgate,2014-09-19,101.0,English,20000000.0,86000000.0,United States,Derek Kolstad
273,Exists,Eduardo Sánchez,"['Robin Cowie', 'Jane Fleming', 'J. Andrew Jenkins', 'Mark Ordesky']","['Dora Madison Burge', 'Brian Steele', 'Samuel Davis']",John Rutland,"['Andrew Eckblad', 'Andy Jenkins']",Nima Fakhrara,"['Court Five', 'Haxan Films', 'Miscellaneous Entertainment']",Lionsgate,2014-03-07,86.0,English,,41930.0,United States,Jamie Nash
274,Jessabelle,Kevin Greutert,Jason Blum,"['Sarah Snook', 'Mark Webber', 'David Andrews', 'Joelle Carter', 'Ana de la Reguera']",Michael Fimognari,Kevin Greutert,Anton Sanko,"['Lionsgate', 'Blumhouse Productions']",Lionsgate,2014-11-07,90.0,English,,7000000.0,United States,Robert Ben Garant
275,The Hunger Games: Mockingjay – Part 1,Francis Lawrence,"['Nina Jacobson', 'Jon Kilik']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Julianne Moore', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Donald Sutherland']",Jo Willems,"['Alan Edward Bell', 'Mark Yoshikawa']","['James Newton Howard', 'Lorde']","['Lionsgate', 'Studio Babelsberg AG', 'Color Force']",Lionsgate,2014-11-10,123.0,English,125000000.0,755400000.0,United States,
276,Dying of the Light,Paul Schrader,"['Scott Clayton', 'Gary A. Hirsch', 'Todd Williams']","['Nicolas Cage', 'Anton Yelchin', 'Irène Jacob']",Gabriel Kosuth,Tim Silano,Frederik Wiedmann,"['Red Granite Pictures', 'Grindstone Entertainment Group']",Lionsgate,2014-12-05,94.0,,5000000.0,,United States,Paul Schrader
277,Spare Parts,Sean McNamara,"['David Alpert', 'Rick Jacobs', 'Leslie Kolins Small', 'George Lopez', 'Ben Odell']","['George Lopez', 'Jamie Lee Curtis', 'Carlos PenaVega', 'Esai Morales', 'José Julián', 'David Del Rio', 'Oscar Gutierrez', 'Alexa PenaVega', 'Alessandra Rosaldo', 'Marisa Tomei']",Richard Wong,Maysie Hoy,['Andrés Levin'],"['Brookwell-McNamara Entertainment', 'Pantelion Films', 'Televisa Films']",Lionsgate,2015-01-16,115.0,,4000000.0,3600000.0,,Elissa Matsueda
